losangeles,Marina del rey,Sail tartan 34',17000,https://losangeles.craigslist.org/wst/boa/d/marina-del-rey-sail-tartan-34/7116189150.html
losangeles,Not displayed,sailboat 34 tartan,17000,https://losangeles.craigslist.org/wst/bod/d/marina-del-rey-sailboat-34-tartan/7116896833.html
losangeles,Not displayed,SAILBOAT TARTAN SAIL READY 34 ' live on if you want!!!!,17000,https://losangeles.craigslist.org/wst/bod/d/marina-del-rey-sailboat-tartan-sail/7121279133.html
sandiego,Ventura,Tartan 3000,20000,https://sandiego.craigslist.org/csd/boa/d/ventura-tartan-3000/7131580500.html
sandiego,San Diego,Peterson 33,19950,https://sandiego.craigslist.org/csd/boa/d/san-diego-peterson-33/7125274090.html
sandiego,san diego,J Boats J 29,19900,https://sandiego.craigslist.org/csd/boa/d/san-diego-boats-29/7128542574.html
sandiego,Alpine,2001 HUNTER 260 SAILBOAT,19000,https://sandiego.craigslist.org/esd/boa/d/alpine-2001-hunter-260-sailboat/7126252809.html
sandiego,Chula Vista,35’ Full Keel - Fresh Survey,18000,https://sandiego.craigslist.org/ssd/boa/d/chula-vista-35-full-keel-fresh-survey/7131191815.html
sandiego,"Coronado, Ca.",Catalina 30,17900,https://sandiego.craigslist.org/csd/boa/d/san-diego-catalina-30/7131298597.html
sandiego,CFB Marine San Diego,32' Centurion Sloop Sail Boat Cruiser Racer,17500,https://sandiego.craigslist.org/csd/bod/d/san-diego-32-centurion-sloop-sail-boat/7125649079.html
sandiego,San Diego,Cal 34 Mk 111,16900,https://sandiego.craigslist.org/csd/boa/d/san-diego-cal-34-mk-111/7126736737.html
sandiego,Point Loma,1984 Catalina 30,16500,https://sandiego.craigslist.org/csd/boa/d/san-diego-1984-catalina-30/7126928433.html
sandiego,Point Loma,1982 Newport 30 Mk III sailboat - Excellent Condition,16500,https://sandiego.craigslist.org/csd/boa/d/san-diego-1982-newport-30-mk-iii/7128485573.html
